"","initial","final"
"1","telecom","Media & Telecom"
"2","Microsoft","Technology"
"3","Berkshire Hathaway","Finance"
"4","LVMH","Retail"
"5","Oracle","Services"
"6","Steel","Industrial"
"7","Zara","Retail"
"8","mining, oil","Energy"
"9","petrochemicals, oil & gas","Energy"
"10","Walmart","Retail"
"11","Diversified","Diversified"
"12","Aldi","Retail"
"13","H&M","Retail"
"14","L'Oréal","Commodities"
"15","casinos","Services"
"16","media","Media & Telecom"
"17","real estate","Real Estate"
"18","Google","Technology"
"19","Investments","Finance"
"20","Mining","Industrial"
"21","Bloomberg","Media & Telecom"
"22","Amazon","Technology"
"23","chocolates","Food & Beverage"
"24","nonferrous metals","Industrial"
"25","steel, telecom, stocks","Diversified"
"26","Software","Technology"
"27","aluminum","Industrial"
"28","Retail","Retail"
"29","steel, coal mines","Industrial"
"30","hedge funds","Finance"
"31","oil, banking, telecom","Diversified"
"32","Dell","Technology"
"33","BMW, pharmaceuticals","Commodities"
"34","Aldi, Trader Joes","Retail"
"35","packaging","Services"
"36","Lukoil","Energy"
"37","sugar, flour, cement","Commodities"
"38","Facebook","Technology"
"39","Cox Enterprises","Services"
"40","steel, investments","Industrial"
"41","beer","Food & Beverage"
"42","Microsoft, investments","Technology"
"43","oil, metals","Industrial"
"44","Nike","Retail"
"45","leveraged buyouts","Finance"
"46","oil","Energy"
"47","banking","Finance"
"48","Fidelity","Finance"
"49","eyewear","Consumer"
"50","shipping","Services"
"51","BMW","Consumer"
"52","construction","Industrial"
"53","paper","Industrial"
"54","Access Industries","Access Industries"
"55","candy, pet food","Consumer"
"56","biotech","Health Care"
"57","commodities, infrastructure","Commodities"
"58","mining, metals, machinery","Industrial"
"59","ball bearings","Industrial"
"60","oil & gas, banking","Energy"
"61","fertilizer","Commodities"
"62","Internet","Technology"
"63","aviation","Services"
"64","commodities","Commodities"
"65","insurance","Finance"
"66","Natural gas","Energy"
"67","coal, fertilizers","Industrial"
"68","Continental Resources","Energy"
"69","Samsung","Technology"
"70","beer, diversified","Diversified"
"71","Apple, Pixar","Technology"
"72","retail, media, financing","Diversified"
"73","Softbank","Finance"
"74","Manufacturing","Industrial"
"75","investments, real estate","Real Estate"
"76","banking, coal","Finance"
"77","News Corp","Media & Telecom"
"78","steel, mining","Industrial"
"79","Heineken","Food & Beverage"
"80","Enterprise Rent-A-Car","Services"
"81","pipelines","Energy"
"82","real estate, hotels","Real Estate"
"83","De Beers","Industrial"
"84","fashion","Retail"
"85","EchoStar","Media & Telecom"
"86","SAP","Technology"
"87","SAS Institute","Technology"
"88","electronics","Technology"
"89","Ebay","Retail"
"90","bank, real estate","Finance"
"91","publishing","Consumer"
"92","drugs","Health Care"
"93","mining, metals","Industrial"
"94","medical devices","Health Care"
"95","finance","Finance"
"96","pharmaceuticals","Health Care"
"97","Mango","Food & Beverage"
"98","Hyundai","Consumer"
"99","Chanel","Consumer"
"100","Estee Lauder","Consumer"
"101","Ikea","Retail"
"102","advertising","Services"
"103","mining, diamonds, real estate","Industrial"
"104","gaming","Consumer"
"105","Beverages","Food & Beverage"
"106","Carnival Cruises","Consumer"
"107","fashion and retail","Retail"
"108","online retailing","Retail"
